interaction,item_id,user_id
1,1225,476
0,5018,301
0,4108,355
0,3491,476
1,772,413
0,5516,323
1,5708,593
0,6740,488
0,6316,225
1,460,506
0,2337,304
0,4751,296
1,971,239
0,9101,343
0,3725,317
1,2271,605
1,1159,356
1,145,99
1,6553,304
0,2247,216
1,172,602
0,8020,104
1,1054,304
0,2739,200
0,6782,599
1,49,116
0,8613,211
1,8486,473
1,1094,386
0,8903,273
0,2494,225
0,8621,596
1,835,329
0,613,524
0,6231,49
0,2405,18
0,7204,291
1,2544,41
1,6407,367
0,807,102
0,9256,539
1,2829,49
1,1151,338
0,9558,560
1,6249,273
0,7380,273
1,794,304
0,8488,317
1,723,566
0,7612,199
1,3190,63
1,1035,599
1,1133,62
0,4481,176
1,431,277
1,214,325
0,7250,67
0,7196,473
1,3048,473
1,5392,297
1,740,551
1,117,159
0,5222,598
0,4369,381
0,3391,598
0,6013,536
0,8381,216
1,2162,287
0,9305,366
1,2219,331
1,312,317
1,2433,489
1,1366,598
0,8135,219
0,7508,606
1,751,335
1,68,63
0,9120,3
0,7902,287
1,1644,18
0,3127,151
0,5914,248
1,926,287
0,1208,40
0,4561,228
1,5084,408
1,461,491
1,56,21
0,3080,44
0,5136,302
0,8250,102
1,346,479
1,102,589
1,1168,167
0,5720,533
0,6465,598
0,4801,554
0,4034,104
1,480,143
0,9552,355
1,1567,483
1,1251,74
1,276,231
1,808,589
0,1007,285
0,812,285
1,202,229
1,193,143
1,380,273
0,1950,108
0,7667,182
1,1156,228
1,100,44
1,3230,351
1,727,238
1,5276,413
0,2960,304
0,2329,525
0,3043,602
0,5828,185
0,3585,559
0,9565,20
1,760,248
1,306,4
0,7418,602
1,400,578
1,2069,605
0,1640,155
0,2469,497
1,1097,289
1,1091,61
0,7181,131
0,7534,121
1,491,261
1,2388,27
1,5717,287
1,1437,259
1,2046,94
0,8169,551
0,1848,417
1,33,461
1,1460,386
1,12,587
1,2128,418
1,1841,198
1,3051,371
1,7905,447
0,4458,521
1,3265,67
1,28,239
1,188,427
0,8828,602
1,1509,186
0,9544,605
1,492,496
0,4831,220
1,72,14
0,5393,322
0,5196,473
0,84,110
0,7988,480
1,68,214
0,5378,413
1,3457,67
1,1626,499
0,6010,44
1,1104,15
0,6856,390
1,1309,598
0,2346,246
1,460,592
0,9150,560
1,735,63
1,767,44
0,5337,23
1,754,194
1,97,440
0,2661,367
0,9120,368
0,7767,124
1,701,578
0,3944,366
0,1397,473
0,1109,476
0,6105,274
0,4738,304
0,2890,270
1,727,607
1,181,606
0,3901,225
0,9353,488
0,5003,26
1,5257,176
0,6925,524
0,9225,158
1,632,410
1,1904,281
0,7135,89
1,1668,447
1,318,605
0,8543,369
0,767,475
0,4213,553
1,5531,609
0,8046,349
0,4623,131
1,276,273
1,806,524
1,5745,233
1,1278,317
1,7283,605
1,1108,379
1,810,248
0,7759,167
0,3897,176
1,237,389
0,6336,272
1,59,585
1,420,248
1,321,241
1,119,447
0,3286,533
1,1639,246
0,4403,579
1,32,427
1,2306,236
1,1453,18
1,991,20
0,4281,379
1,4999,225
1,2900,344
1,171,56
1,471,461
0,3058,551
0,3907,317
0,5376,67
1,2,600
1,2723,231
0,2121,533
1,856,104
1,406,56
1,8024,447
1,9210,598
0,7145,17
0,6812,124
1,1490,81
1,437,452
1,917,209
1,1269,419
1,12,589
1,886,425
1,9311,598
1,2428,371
0,4355,473
1,24,80
0,8285,39
1,1284,609
0,1390,327
0,574,375
1,1860,413
1,705,139
0,5944,364
1,1537,379
0,6214,44
1,751,569
1,100,66
1,183,44
1,1022,413
0,124,537
0,8897,413
0,2642,274
1,444,306
1,3148,598
1,4227,473
0,7350,533
0,4879,17
1,1065,572
1,1533,63
1,1285,27
1,347,243
0,3091,482
0,2608,609
1,2086,22
0,3424,110
0,1385,524
1,1134,386
1,223,319
1,1075,609
0,6687,104
1,316,181
0,7329,155
1,6558,379
0,9200,273
0,225,561
1,557,42
0,6953,473
1,512,99
0,8037,595
1,2447,473
0,1339,318
0,3786,523
0,4805,154
1,767,595
0,6894,176
0,150,61
0,5539,61
1,2046,433
1,15,358
1,459,275
1,72,278
1,2219,194
0,3540,243
1,771,152
1,754,325
1,3079,604
1,1611,297
0,4894,216
0,5815,572
1,1475,90
0,1141,599
1,410,355
1,233,231
1,539,346
1,183,316
1,5350,598
1,6649,356
0,4174,65
1,4037,602
0,8877,379
0,8842,598
1,1501,461
1,2698,386
0,2015,447
0,2818,422
1,1133,330
0,7668,200
0,4191,455
0,7110,488
1,435,521
0,8507,216
0,3883,578
0,4549,210
1,1008,99
0,2872,233
0,7742,19
0,5443,32
0,3706,232
1,5119,264
1,2158,26
1,1252,473
0,7340,378
1,1668,413
0,7367,519
0,1014,221
0,595,39
0,6417,17
0,2636,44
1,6583,305
1,3092,297
1,2044,104
0,3590,287
1,1187,476
1,1317,329
0,2289,454
0,3028,433
0,1454,226
1,183,390
0,7740,554
1,3,559
0,1026,88
0,4796,522
0,9175,305
0,5413,130
0,4798,297
1,5295,181
0,2374,607
1,24,607
1,3318,542
0,7947,479
0,98,602
0,3261,227
1,326,554
1,1622,18
0,8090,593
0,662,511
0,8104,5
1,670,93
0,1685,482
0,108,306
0,4649,297
1,997,126
0,5634,447
0,4827,473
0,3478,199
0,34,218
1,2400,289
1,1969,562
1,2230,306
1,4184,218
1,756,168
0,2356,164
1,800,139
0,2851,518
0,4407,338
0,7061,183
0,6772,366
1,2393,609
1,1317,248
0,5604,447
1,120,28
0,692,303
1,868,562
1,74,14
0,2193,139
0,4001,317
0,5466,502
0,6078,609
1,306,32
0,3359,609
0,2670,509
0,4703,331
0,4578,560
0,2145,605
0,4138,124
1,1287,572
0,1097,599
0,1348,176
1,990,293
1,307,609
1,1480,67
0,4536,560
0,5931,92
1,1626,541
0,6945,448
0,4389,492
1,1925,317
1,479,379
1,5496,287
0,9239,71
1,836,447
1,568,309
1,1611,596
1,505,528
1,1155,482
1,1,500
0,7589,317
0,222,147
0,6593,447
0,7746,385
0,6506,90
0,2902,27
0,4029,176
0,8219,473
0,5923,608
1,1836,79
0,5612,431
0,5212,306
1,148,265
0,1876,41
1,4897,605
1,218,140
0,7841,476
1,1468,468
1,83,170
0,8800,327
0,852,593
1,212,413
0,3099,306
1,168,44
1,7134,379
0,8663,353
0,9642,134
1,2144,482
1,1125,559
0,4797,155
1,358,321
1,5832,268
1,231,465
0,6317,598
1,765,273
0,1945,386
1,3714,84
0,2726,413
0,2319,248
0,6621,176
0,3330,317
1,294,520
0,1886,289
0,7968,176
1,399,355
0,8638,367
0,9606,494
0,6785,273
1,3186,599
0,3589,273
1,1324,183
0,3402,51
0,4770,26
1,1449,216
1,502,372
0,9683,413
0,3738,185
1,430,90
1,492,554
0,7728,413
1,490,181
0,8415,603
1,492,356
1,1709,100
1,20,372
1,4992,413
0,1178,118
0,8171,23
1,7343,447
0,1960,494
1,812,353
1,639,410
0,2735,90
1,1475,589
0,4362,440
0,3175,533
1,1141,546
0,6454,598
1,2462,607
0,520,481
0,8565,414
0,1286,508
0,8043,437
1,8620,598
0,8110,297
0,9620,529
1,770,300
1,2829,338
0,2376,368
1,1536,605
0,8884,413
0,2663,351
0,5094,479
0,5722,466
0,6841,312
1,2235,27
1,141,297
0,804,449
1,3638,338
1,3061,58
1,1116,306
1,7595,605
1,255,304
1,3074,413
0,1965,473
1,1845,379
1,31,313
1,193,287
1,105,41
0,481,386
0,5516,473
1,580,116
0,8924,304
0,882,452
1,1509,128
0,5839,571
1,531,446
1,3064,220
0,2716,279
0,8648,145
1,2264,79
0,9631,561
1,2917,216
1,944,255
0,4706,566
0,8488,473
0,6287,599
1,1215,221
0,4133,20
0,9230,371
1,26,473
1,102,464
1,806,273
1,2711,306
0,2722,181
1,944,522
0,6750,438
0,6391,216
0,9591,311
1,80,513
0,6609,291
0,8754,297
0,9237,330
0,3355,317
0,1699,598
0,9340,220
1,4147,413
1,2998,235
0,9104,473
0,4920,124
0,1430,74
1,1,579
0,4805,598
0,7647,291
0,906,413
1,275,166
1,2016,447
1,1890,533
1,3143,73
0,2029,42
0,6967,483
1,2990,431
1,4599,121
0,7361,18
1,751,482
1,353,519
1,4884,220
1,34,483
1,32,371
1,1623,224
0,289,473
1,1134,367
0,7224,140
0,1738,379
0,626,203
0,176,598
0,9219,41
1,321,384
1,1943,598
1,2434,473
