1,Toy Story (1995),Albert Faltyn,8798960180679,2013,1
2,Jumanji (1995),Olga Radzio,6975125621952,1975,1
3,Grumpier Old Men (1995),Kornelia Łacina,4578054629899,2009,1
4,Waiting to Exhale (1995),Hubert Macheta,4050776789206,2011,1
5,Father of the Bride Part II (1995),Marcelina Litwiniuk,5295962285008,1971,1
6,Heat (1995),Julianna Zmuda,9379297393953,2015,1
7,Sabrina (1995),Sebastian Kondej,9521564769591,2018,1
8,Tom and Huck (1995),Gabriel Meissner,6346913748951,2014,1
10,GoldenEye (1995),Jędrzej Walusiak,5457469092888,1978,1
11,American President The (1995),Kamila Chołody,7969345756704,1989,1
12,Dracula: Dead and Loving It (1995),Damian Chadaj,6455894341149,2000,1
13,Balto (1995),Jakub Pupek,5726534213775,1987,1
15,Cutthroat Island (1995),Szymon Potęga,7128368890268,2015,1
16,Casino (1995),Julianna Siwka,6519106784242,2016,1
17,Sense and Sensibility (1995),Albert Martyn,5655254453090,2018,1
18,Four Rooms (1995),Tobiasz Kapcia,9837604008883,1990,1
19,Ace Ventura: When Nature Calls (1995),Konrad Nieborak,4349120439401,1996,1
21,Get Shorty (1995),Cezary Reiter,8281543300064,1970,1
22,Copycat (1995),Grzegorz Kandzia,5858931164945,2002,1
23,Assassins (1995),Witold Łakota,7782530430720,1973,1
24,Powder (1995),Alan Paluszak,9292514836632,1971,1
25,Leaving Las Vegas (1995),Anna Maria Kobel,5905138677498,1990,1
26,Othello (1995),Antoni Gałach,9513506615295,1995,1
27,Now and Then (1995),Aurelia Juroszek,7152573870627,2011,1
28,Persuasion (1995),Kornelia Juszczuk,5950044004433,2010,1
29,City of Lost Children The (Cité des enfants perdus La) (1995),Ewelina Lizurej,4728680820086,1972,1
31,Dangerous Minds (1995),Krystyna Siedlik,8567871310176,2000,1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Konstanty Stryjek,7022271666018,1970,1
34,Babe (1995),Mateusz Starek,4561590875451,1999,1
36,Dead Man Walking (1995),Dariusz Kędziorek,8752042717240,2004,1
38,It Takes Two (1995),Antoni Kostorz,9602428740125,1997,1
39,Clueless (1995),Damian Niećko,4398789555225,2015,1
41,Richard III (1995),Kalina Młodzik,4848381565734,2016,1
43,Restoration (1995),Antoni Chojak,9192586410221,1980,1
44,Mortal Kombat (1995),Marika Wesoła,5363900466236,1982,1
45,To Die For (1995),Sebastian Juszczuk,5963624761338,1974,1
46,How to Make an American Quilt (1995),Fabian Gołoś,5846316258710,1992,1
47,Seven (a.k.a. Se7en) (1995),Arkadiusz Padło,9977297331586,2019,1
48,Pocahontas (1995),Kornelia Gozdur,7173844876330,1976,1
50,Usual Suspects The (1995),Cezary Duchnik,4953715831795,1973,1
52,Mighty Aphrodite (1995),Tola Jeka,7471203200650,2007,1
54,Big Green The (1995),Tomasz Samulak,5095253355526,1970,1
57,Home for the Holidays (1995),Grzegorz Jop,4931845618900,1987,1
58,Postman The (Postino Il) (1994),Eliza Myszor,9305248512765,2009,1
60,Indian in the Cupboard The (1995),Aniela Paluszak,8274004431761,1994,1
61,Eye for an Eye (1996),Antoni Kajak,8211963871232,2008,1
62,Mr. Holland's Opus (1995),Artur Dziopa,7352015775548,1974,1
64,Two if by Sea (1996),Adrian Wieczerzak,8196596581723,1988,1
65,Bio-Dome (1996),Ada Jaszczyszyn,5463028423386,1994,1
66,Lawnmower Man 2: Beyond Cyberspace (1996),Kornel Mysiak,8931297234511,1974,1
