interaction,item_id,user_id
0,2322,27
0,745,28
0,783,40
0,2192,27
0,1184,16
0,1036,32
0,1743,28
0,1051,32
0,2742,3
0,1795,46
0,2423,17
0,144,18
0,1075,17
0,885,19
0,925,32
0,1388,34
0,2429,44
0,1824,26
0,1854,20
0,2203,39
1,1226,40
0,535,44
0,198,20
0,2110,21
0,1220,37
0,1047,39
0,704,35
0,2484,39
0,2392,41
1,342,5
0,1152,20
0,1801,27
0,1927,44
1,1664,18
0,1622,27
0,128,17
0,2176,42
0,1652,12
0,1277,9
0,1981,15
0,642,41
0,2460,27
0,2269,9
1,556,37
0,1575,32
0,1442,18
0,836,6
1,2507,39
0,2004,5
0,572,44
0,818,41
0,850,40
0,2165,41
0,750,21
0,2346,39
0,2435,18
0,1868,0
0,911,44
0,2588,42
1,695,19
0,560,27
0,1173,48
0,2388,41
0,264,3
0,1419,27
0,2649,46
0,17,17
0,2418,38
0,2502,17
0,29,14
0,2186,40
0,1655,18
0,886,33
0,748,23
0,764,31
0,2429,19
0,2413,26
1,962,9
0,611,20
0,201,18
0,2310,18
0,648,0
0,470,2
0,1537,3
0,2027,44
0,1110,14
0,1776,9
0,481,19
0,1324,14
0,2006,5
0,1706,17
0,1612,48
1,1296,40
0,2058,18
0,658,18
0,851,40
0,701,20
0,2018,5
0,1601,42
0,1593,6
0,222,17
1,724,27
0,759,3
0,1184,14
0,2077,11
0,2225,15
0,2061,40
0,1492,46
0,1904,22
1,808,27
0,2718,20
0,2321,40
0,1268,18
0,602,18
0,2092,3
0,1329,42
0,2229,43
0,2626,41
0,1859,32
0,2673,41
1,625,13
0,219,28
0,2323,16
0,965,9
0,1837,5
0,254,41
0,2570,44
0,280,26
0,495,17
0,1118,16
0,229,0
0,477,20
0,1753,5
0,574,32
0,1558,17
0,1123,20
0,2200,44
0,1072,17
0,601,19
0,1206,39
0,976,18
0,719,5
1,75,3
0,146,40
0,1778,31
0,2718,20
0,256,24
0,518,15
0,121,17
0,1985,27
0,137,17
0,858,14
0,1343,27
0,700,18
0,713,44
0,693,14
0,1304,20
0,940,17
0,596,22
0,1173,30
0,897,38
0,1370,21
0,2482,18
0,1812,2
0,1121,41
0,551,37
0,2262,17
0,2348,5
0,2499,18
0,2000,18
0,1883,20
0,280,19
1,971,20
0,544,27
0,1309,19
0,1203,27
0,963,26
1,764,33
0,1075,18
0,2672,44
0,1619,19
1,1147,21
0,2295,5
0,1110,3
0,2027,44
0,1893,44
0,1721,19
0,2514,40
0,501,20
0,628,20
0,1610,40
0,1190,16
0,1957,8
0,751,27
0,1182,18
0,887,15
0,2406,17
0,1239,1
0,2655,44
1,1136,22
0,1884,0
0,2322,19
0,2202,5
0,1803,26
0,724,42
0,2505,18
0,610,20
0,1670,24
0,1359,28
0,2111,44
0,1384,3
0,684,22
1,445,33
0,818,24
0,806,3
0,1736,20
0,2266,18
0,893,27
0,17,28
0,1263,0
1,1446,18
0,1890,17
0,1178,0
0,2045,15
0,558,3
0,967,9
0,1220,5
0,99,27
0,2430,40
0,1625,18
0,1480,32
0,1278,27
0,231,41
0,1476,18
0,2416,44
0,1997,1
0,994,27
0,542,27
0,56,30
0,131,46
0,1763,18
1,82,0
0,521,33
0,1691,9
0,1587,17
0,2190,18
0,998,32
0,2090,41
0,2495,27
1,467,45
0,1037,23
0,173,5
0,1297,17
0,1124,14
0,2349,42
0,2484,44
0,2211,27
0,1276,41
0,828,41
0,1899,17
0,1130,27
0,1611,0
0,1996,20
1,2458,32
0,1323,15
0,566,38
0,2237,22
0,1642,18
0,2513,40
0,2678,17
0,1947,36
0,597,32
0,2058,23
0,6,41
0,2551,16
0,2747,5
0,1746,19
0,2421,18
0,1,44
0,2211,18
0,735,8
0,1262,27
0,772,27
1,555,5
0,117,16
0,922,20
0,93,20
0,661,17
0,2111,41
0,800,18
0,2591,15
0,794,40
0,2712,18
0,1762,17
0,2441,20
0,1506,38
0,1914,46
0,2452,17
0,720,23
0,1553,18
0,1826,17
0,2566,27
0,2023,28
0,2287,27
0,2202,21
1,2427,31
0,2733,20
0,2173,41
0,1873,26
0,1480,17
0,850,17
0,691,5
0,1582,40
0,698,18
1,1110,15
0,1556,19
0,1702,20
0,230,9
0,824,18
0,125,40
0,699,18
0,2281,18
0,1039,3
0,1711,5
0,1361,27
0,1576,41
0,491,18
0,2614,37
0,643,18
0,510,3
0,32,18
0,908,5
1,47,0
0,1096,44
0,2267,18
0,2159,18
0,1447,17
0,1135,42
0,1187,5
0,2016,14
0,1334,27
0,865,46
0,1998,19
0,644,20
0,1828,18
0,1583,45
0,1369,41
0,85,14
0,226,23
0,543,20
0,2224,6
0,2244,18
