user_id,item_ids
0,[ 231  232  233 ... 9721 9722 9723]
1,[   0    1    2 ... 9721 9722 9723]
2,[   0    1    2 ... 9721 9722 9723]
3,[   0    1    3 ... 9721 9722 9723]
4,[   0    1    2 ... 9721 9722 9723]
5,[   4    5    8 ... 9721 9722 9723]
6,[   0    1    2 ... 9721 9722 9723]
7,[   0    1    4 ... 9721 9722 9723]
8,[   0    1    2 ... 9721 9722 9723]
9,[   0    1    2 ... 9721 9722 9723]
10,[   0    2    3 ... 9721 9722 9723]
11,[   0    1    2 ... 9721 9722 9723]
12,[   0    1    3 ... 9721 9722 9723]
13,[   0    1    3 ... 9721 9722 9723]
14,[   0    1    3 ... 9721 9722 9723]
15,[   0    1    4 ... 9721 9722 9723]
16,[   0    1    4 ... 9721 9722 9723]
17,[   0    5    7 ... 9721 9722 9723]
18,[   1    3    5 ... 9721 9722 9723]
19,[   0    1    2 ... 9721 9722 9723]
20,[   0    1    2 ... 9721 9722 9723]
21,[   0    1    2 ... 9721 9722 9723]
22,[   0    2    4 ... 9721 9722 9723]
23,[   0    2    4 ... 9721 9722 9723]
24,[   0    1    2 ... 9721 9722 9723]
25,[   0    1    3 ... 9721 9722 9723]
26,[   0    1    2 ... 9721 9722 9723]
27,[   0    4    5 ... 9721 9722 9723]
28,[   0    1    2 ... 9721 9722 9723]
29,[   0    1    2 ... 9721 9722 9723]
30,[   0    1    2 ... 9721 9722 9723]
31,[   2    4    5 ... 9721 9722 9723]
32,[   0    1    2 ... 9721 9722 9723]
33,[   0    1    2 ... 9721 9722 9723]
34,[   0    1    2 ... 9721 9722 9723]
35,[   0    1    2 ... 9721 9722 9723]
36,[   0    1    2 ... 9721 9722 9723]
37,[   0    1    2 ... 9721 9722 9723]
38,[   0    1    4 ... 9721 9722 9723]
39,[   0    1    2 ... 9721 9722 9723]
40,[   0    1    4 ... 9721 9722 9723]
41,[   1    4    5 ... 9721 9722 9723]
42,[   1    3    4 ... 9721 9722 9723]
43,[   2    3    4 ... 9721 9722 9723]
44,[   0    2    5 ... 9721 9722 9723]
45,[   0    1    2 ... 9721 9722 9723]
46,[   0    1    3 ... 9721 9722 9723]
47,[   0    1    2 ... 9721 9722 9723]
48,[   0    1    2 ... 9721 9722 9723]
49,[   0    1    2 ... 9721 9722 9723]
50,[   1    2    3 ... 9721 9722 9723]
51,[   0    1    2 ... 9721 9722 9723]
52,[   0    1    2 ... 9721 9722 9723]
53,[   0    1    4 ... 9721 9722 9723]
54,[   0    1    2 ... 9721 9722 9723]
55,[   0    1    3 ... 9721 9722 9723]
56,[   0    2    5 ... 9721 9722 9723]
57,[   1    4    5 ... 9721 9722 9723]
58,[   0    1    2 ... 9721 9722 9723]
59,[   0    1    2 ... 9721 9722 9723]
