user_id,item_ids
0,[ 231  232  233 ... 2750 2751 2752]
1,[   0    1    2 ... 2750 2751 2752]
2,[   0    1    2 ... 2750 2751 2752]
3,[   0    1    3 ... 2750 2751 2752]
4,[   0    1    2 ... 2750 2751 2752]
5,[   4    5    8 ... 2750 2751 2752]
6,[   0    1    2 ... 2750 2751 2752]
7,[   0    1    4 ... 2750 2751 2752]
8,[   0    1    2 ... 2750 2751 2752]
9,[   0    1    2 ... 2750 2751 2752]
10,[   0    2    3 ... 2750 2751 2752]
11,[   0    1    2 ... 2750 2751 2752]
12,[   0    1    3 ... 2750 2751 2752]
13,[   0    1    3 ... 2750 2751 2752]
14,[   0    1    3 ... 2750 2751 2752]
15,[   0    1    4 ... 2750 2751 2752]
16,[   0    1    4 ... 2750 2751 2752]
17,[   0    5    7 ... 2750 2751 2752]
18,[   1    3    5 ... 2750 2751 2752]
19,[   0    1    2 ... 2750 2751 2752]
20,[   0    1    2 ... 2750 2751 2752]
21,[   0    1    2 ... 2750 2751 2752]
22,[   0    2    4 ... 2750 2751 2752]
23,[   0    2    4 ... 2750 2751 2752]
24,[   0    1    2 ... 2750 2751 2752]
25,[   0    1    3 ... 2750 2751 2752]
26,[   0    1    2 ... 2750 2751 2752]
27,[   0    4    5 ... 2750 2751 2752]
28,[   0    1    2 ... 2750 2751 2752]
29,[   0    1    2 ... 2750 2751 2752]
30,[   0    1    2 ... 2750 2751 2752]
31,[   2    4    5 ... 2750 2751 2752]
32,[   0    1    2 ... 2750 2751 2752]
33,[   0    1    2 ... 2750 2751 2752]
34,[   0    1    2 ... 2750 2751 2752]
35,[   0    1    2 ... 2750 2751 2752]
36,[   0    1    2 ... 2750 2751 2752]
37,[   0    1    2 ... 2750 2751 2752]
38,[   0    1    4 ... 2750 2751 2752]
39,[   0    1    2 ... 2750 2751 2752]
40,[   0    1    4 ... 2750 2751 2752]
41,[   1    4    5 ... 2750 2751 2752]
42,[   1    3    4 ... 2750 2751 2752]
43,[   2    3    4 ... 2750 2751 2752]
44,[   0    2    5 ... 2750 2751 2752]
45,[   0    1    2 ... 2750 2751 2752]
46,[   0    1    3 ... 2750 2751 2752]
47,[   0    1    2 ... 2747 2748 2749]
48,[   0    1    2 ... 2750 2751 2752]
