interaction,item_id,user_id
1,449,3
0,1558,20
0,1358,18
0,1055,18
0,976,14
0,254,46
0,1190,27
0,1763,18
0,1475,27
0,1038,18
0,2037,40
0,155,27
0,2530,42
1,369,3
0,992,0
0,2046,27
0,1433,46
0,2730,41
0,726,44
0,1731,41
0,1878,40
0,817,35
0,762,10
0,1562,27
0,1638,20
0,1402,17
0,65,15
0,11,17
0,1920,37
0,1374,32
0,265,18
0,2546,37
0,192,23
0,827,26
1,761,27
0,2503,22
0,484,5
0,1070,39
0,1290,17
0,1124,15
0,2705,6
0,1360,40
0,2729,41
0,2305,46
0,1349,32
0,2400,27
0,1317,13
0,1981,3
0,154,1
0,1360,45
1,41,33
0,2448,20
0,235,20
0,1217,45
0,1856,33
0,2712,40
0,1175,21
0,640,18
0,899,19
0,1292,18
0,571,3
0,1513,5
0,717,32
0,2267,41
0,1484,9
0,2663,23
0,1522,15
0,1592,10
0,1723,20
0,631,27
0,2631,17
0,2369,24
0,2557,19
0,1992,18
0,1938,10
0,155,26
0,1878,27
0,1521,24
0,2473,10
0,2220,41
0,1822,42
0,1072,13
0,1586,18
0,2658,47
0,752,27
0,2456,17
0,2588,5
1,571,5
0,1286,48
0,1005,15
0,1971,20
0,2435,41
0,2140,26
0,243,2
1,312,33
0,2179,19
0,2583,9
0,2590,17
0,937,20
0,1885,16
0,1361,27
1,2262,27
0,1115,19
0,219,18
0,1382,39
0,831,29
0,1134,46
0,257,31
0,742,27
0,1179,18
0,1304,32
0,1745,2
0,2264,27
0,1399,24
0,679,47
0,601,15
0,1543,35
0,120,44
0,625,20
0,214,20
1,836,41
0,1607,23
0,611,0
0,2195,41
0,1683,19
0,536,21
0,1866,27
1,1975,20
0,529,20
0,2228,27
0,1429,18
0,1247,5
1,1767,18
0,2529,30
0,972,39
0,1445,20
0,1502,9
0,871,40
0,2728,27
1,651,10
1,984,10
0,1848,7
0,2199,3
0,622,44
0,709,18
0,592,6
0,694,20
1,633,41
0,1981,46
0,2192,27
0,1429,20
0,2293,0
0,1696,45
0,2284,44
0,717,18
1,1824,46
0,1899,15
0,1639,44
0,2244,16
0,2046,18
0,833,40
0,1328,17
0,993,26
1,2046,27
0,824,28
0,2520,8
1,1931,20
1,1887,20
0,2207,17
1,1128,22
0,1788,17
0,1965,41
1,10,44
0,2301,38
0,1333,0
0,2307,42
0,174,41
0,2091,20
0,1018,26
0,631,6
0,554,17
0,2110,20
0,751,33
0,2742,17
0,469,20
0,1277,18
0,1831,27
0,955,40
0,1815,27
0,2591,17
0,2148,5
0,1934,27
0,1438,0
0,1679,26
0,805,15
0,1871,20
0,1985,9
0,831,13
0,1128,27
0,2717,0
0,702,9
0,2736,32
0,474,21
0,1600,20
0,2724,17
0,1675,2
0,1859,40
0,1943,27
0,2140,23
0,206,35
0,2244,41
0,521,31
0,1092,40
0,2134,3
1,59,5
0,2542,3
1,21,44
0,1190,5
0,2725,17
0,1462,5
0,1345,44
0,2259,38
0,1938,37
0,6,23
0,2161,17
0,823,17
0,874,5
0,2535,27
0,2733,6
0,2207,22
0,2185,32
0,503,20
0,117,17
0,1776,0
0,471,38
0,708,24
0,1643,18
0,829,27
0,2116,27
0,1615,41
0,941,14
0,1744,34
0,2173,5
0,2025,18
1,276,21
0,1122,20
0,809,44
0,1841,27
0,2028,44
0,704,44
0,1372,41
0,1599,44
0,2269,42
0,1285,5
1,755,48
0,2368,9
0,1766,30
0,2152,17
0,2147,31
0,869,27
0,1682,41
0,74,27
0,46,3
0,498,3
0,2697,34
0,858,46
0,1100,23
0,1147,38
0,1271,42
0,1494,39
0,1112,33
0,597,6
0,2524,16
0,845,20
0,1129,5
0,1119,18
1,827,17
0,2314,18
0,1086,37
0,786,18
0,593,27
0,1744,9
0,2541,7
0,1587,18
0,929,5
0,625,46
0,2244,41
0,134,20
0,122,5
0,1882,17
0,156,0
0,1811,17
0,1188,18
0,2117,43
